text,pages,sections
"Educational Publications Department ISBN - 978 - 955 - 25 - 0664 - 2 Educational Publications Department 765/2, Waduwegama Road, Malwana.","[1, 2]","['Educational Publications Department', 'ISBN - 978 - 955 - 25 - 0664 - 2']"
"The Educational Publications Department which is entrusted with the responsibility of providing a free textbook to the students by the government fulfills the duty diligently in each year for the student community which exceeds Without limiting to the above mentioned important task, the Educational",[4],"['04 million.', 'Foreword']"
"Publications Department is engaged in producing supplementary reading materials for Advanced Level and other higher examinations. process, valuable books with the contribution of subject experts in different fields are sold at a concessionary price.",[4],['04 million.']
These supplementary reading materials can be an excellent source of knowledge for those who sit for examinations and for the reading public who is interested in reading different academic books. I would like to compliment the subject,[4],"['04 million.', 'in reading different academic books. I would like to compliment the subject']"
experts and the staff of the Educational Publications Department who contributed to produce this book. I would like to extend my thanks to you who justify the following saying by George R. R. Martin – “A person who reads books lives thousand lives before,[4],"['I would like to extend my thanks to you who justify the following saying', 'contributed to produce this book.', 'in reading different academic books. I would like to compliment the subject']"
Those who don’t read have only one life”. Commissioner General of Educational Publications Educational Publications Department The Educational Publications Department which is entrusted with the,"[4, 5]","['Commissioner General of Educational Publications', 'Educational Publications Department', 'Foreword', 'I would like to extend my thanks to you who justify the following saying']"
"responsibility of providing a free textbook to the students by the government fulfills the duty diligently in each year for the student community which exceeds Without limiting to the above mentioned important task, the Educational Publications Department is engaged in producing supplementary reading",[5],"['04 million.', 'Foreword']"
"materials for Advanced Level and other higher examinations. process, valuable books with the contribution of subject experts in different fields are sold at a concessionary price. These supplementary reading materials can be an excellent source of knowledge",[5],['04 million.']
for those who sit for examinations and for the reading public who is interested in reading different academic books. I would like to compliment the subject experts and the staff of the Educational Publications Department who,[5],"['04 million.', 'in reading different academic books. I would like to compliment the subject']"
contributed to produce this book. I would like to extend my thanks to you who justify the following saying by George R. R. Martin – “A person who reads books lives thousand lives before Those who don’t read have only one life”.,[5],"['I would like to extend my thanks to you who justify the following saying', 'contributed to produce this book.']"
Commissioner General of Educational Publications Educational Publications Department Monitoring and Supervision - P.N. Educational Publications Department,"[5, 6]","['26 - 06 - 2020', 'Commissioner General of Educational Publications', 'Educational Publications Department']"
Educational Publications Department Educational Publications Department Educational Publications Department Prof. Padmasiri Kannangara - Department of History,[6],"['1. Prof. Padmasiri Kannangara - Department of History', 'Educational Publications Department']"
University of Sri Jayawardhanapura Dr. Anusha Senadhiraja - Senior Lecturer C. Nishani Dharmapala - Senior Lecturer National Insitute of Education,[6],"['2. Dr. Anusha Senadhiraja - Senior Lecturer', '3. C. Nishani Dharmapala - Senior Lecturer', 'National Insitute of Education', 'University of Sri Jayawardhanapura']"
Dr. Rohitha Disanayaka - Senior Lecturer J.M Sudharmawathi - Senior Lecturer W. A. S. Shiromala Gunawardana - Assistant Lecturer National Institute of Education,[6],"['1. Dr. Rohitha Disanayaka - Senior Lecturer', '2. J.M Sudharmawathi - Senior Lecturer', '3. W. A. S. Shiromala Gunawardana - Assistant Lecturer', 'National Institute of Education']"
Sister Mary Doneta - Retired Deputy Principal U.L.M Baseer - Retired In-Service- Adviser U. L. S Marikkal - In-Service- Adviser Pasdunrata National College of,[7],"['6. Sister Mary Doneta - Retired Deputy Principal', '7. U.L.M Baseer - Retired In-Service- Adviser', '8. U. L. S Marikkal - In-Service- Adviser', 'Pasdunrata National College of']"
Language Editing - W. Indumini Darshika Educational Publications Department Type Setting - Jayani Nisansala Dissanayake Educational Publications Department,[7],"['Educational Publications Department', 'Language Editing - W. Indumini Darshika']"
"Cover Page, Page Layout & - Charani Nishamini Alahakoon Map Designing Educational Publications Department CONTENTS Establishment of British Power in Sri Lanka 19 - 40","[7, 9]","['2. Establishment of British Power in Sri Lanka 19 - 40', 'CCCCCCOOOOOONNNNNNTTTTTTEEEEEENNNNNNTTTTTTSSSSSS', 'Cover Page, Page Layout & - Charani Nishamini Alahakoon', 'Map Designing Educational Publications Department']"
National Renaissance in Sri Lanka 41 - 50 Political Changes in Sri Lanka under the British 51 - 64 Social Changes in Sri Lanka Under the British 65 - 78 Receiving of Independence to Sri Lanka 79 - 105,[9],"['3. National Renaissance in Sri Lanka 41 - 50', '4. Political Changes in Sri Lanka under the British 51 - 64', '5. Social Changes in Sri Lanka Under the British 65 - 78', '6. Receiving of Independence to Sri Lanka 79 - 105']"
Significant Revolutions in the World 106 - 125 World Wars and Conventions 126 - 154 The broad change generated by man in the industrial and technological fields within a period of about six decades by producing goods with the help of machines,"[9, 11]","['7. Significant Revolutions in the World 106 - 125', '8. World Wars and Conventions 126 - 154', 'Introduction']"
instead of manual labour is termed as “the industrial revolution.” 1.1 Beginning and Development of the Industrial Revolution The industrial revolution began towards the latter part of the 18th century in Britain. It was limited to Britain for about another half century.,[11],"['1.1 Beginning and Development of the Industrial Revolution', 'It was limited to Britain for about another half century. Yet, by the 19th century, the', 'instead of manual labour is termed as “the industrial revolution.”']"
"influence of the industrial revolution spread to the other countries in Europe and Trade was the major reason for the emergence of the industrial revolution in Europe. When the situation of Europe in the 18th century is analyzed, it can be seen that France, Portugal and Spain other than Britain engaged themselves in colonization",[11],['influence of the industrial revolution spread to the other countries in Europe and']
"Therefore, it is important to inquire into the reasons why such a revolution began in Britain.  Reasons for the Emergence of the Industrial Revolution in Britain Financial and commercial affairs started developing in Europe since the 16th century",[11],['influence of the industrial revolution spread to the other countries in Europe and']
"and by the 18th century, Britain had surpassed some of the other leading European countries such as Holland, France, Portugal and Spain. who could invest money on industries was created in that country. time, there was a rapid growth in the population of Britain which resulted in a high",[11],"['countries such as Holland, France, Portugal and Spain. As a result a wealthy class', 'influence of the industrial revolution spread to the other countries in Europe and']"
demand for goods and in turn producing goods to meet the increasing demand This led to a development in the industrial sector. was an expansion of the knowledge of science as a result of the Renaissance that took place in Europe in 14th and 15th centuries.,[11],"['countries such as Holland, France, Portugal and Spain. As a result a wealthy class']"
This knowledge was used in producing Minerals such as iron and steel that were necessary in producing machinery too were found in Britain. Not only that Britain easily found things like,"[11, 12]","['countries such as Holland, France, Portugal and Spain. As a result a wealthy class']"
"coal which played a major role in producing energy. Though there was a heavy population in contemporary kingdoms such as France, the development of trade in those countries was limited in comparison to Britain. But, Britain had obstructed the commercial relationships of its colonies with other",[12],['coal which played a major role in producing energy.']
countries in the world by imposing several commercial laws. able to maintain a high demand for their productions in its own colonies because they had no other choice than importing those productions from Britain. those products with high demand in Britain were suitable for the production using,[12],"['countries in the world by imposing several commercial laws. Thus, Britain was']"
"One example is the high demand placed upon British cotton clothes Though there was an increasing demand for British cotton clothes, they did not have the ability to increase the production within a short period with the Because of the high demand that existed for the British",[12],"['countries in the world by imposing several commercial laws. Thus, Britain was']"
"productions, there arose a need in increasing the production in a short period. as a solution to this challenge that there was a rapid development in the industrial There were several changes in the agriculture field too in contemporary Britain. There, the rich landowners combined small pieces of land that belonged to poor",[12],"['countries in the world by imposing several commercial laws. Thus, Britain was']"
